draw_id,draw_date,n1,n2,n3,n4,n5,n6,sum,min,max,range,odd_count,even_count,low_count,high_count,gap_1,gap_2,gap_3,gap_4,gap_5,consecutive_pairs,max_gap,min_gap,source_dataset_version,analysis_version,through_draw,override_ref
00568,2021-04-20,18,25,38,43,47,51,222,18,51,33,4,2,2,4,7,13,5,4,4,0,13,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00569,2021-04-22,5,11,17,25,39,48,145,5,48,43,5,1,4,2,6,6,8,14,9,0,14,6,ds_cbdf3834368e,ds_16b6be697acb,01190,
00570,2021-04-24,1,4,5,21,25,44,100,1,44,43,4,2,5,1,3,1,16,4,19,1,19,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00571,2021-04-27,3,9,22,26,32,37,129,3,37,34,3,3,4,2,6,13,4,6,5,0,13,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00572,2021-04-29,3,9,23,33,42,44,154,3,44,41,4,2,3,3,6,14,10,9,2,0,14,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00573,2021-05-01,3,7,14,22,41,42,129,3,42,39,3,3,4,2,4,7,8,19,1,1,19,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00574,2021-05-04,7,24,45,48,49,53,226,7,53,46,4,2,2,4,17,21,3,1,4,1,21,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00575,2021-05-06,15,19,24,31,44,53,186,15,53,38,4,2,3,3,4,5,7,13,9,0,13,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00576,2021-05-08,14,23,26,37,42,51,193,14,51,37,3,3,3,3,9,3,11,5,9,0,11,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00577,2021-05-11,1,14,41,44,46,53,199,1,53,52,3,3,2,4,13,27,3,2,7,0,27,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00578,2021-05-13,13,24,25,35,39,41,177,13,41,28,5,1,3,3,11,1,10,4,2,1,11,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00579,2021-05-15,1,5,6,13,23,27,75,1,27,26,5,1,6,0,4,1,7,10,4,1,10,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00580,2021-05-18,6,7,22,32,38,47,152,6,47,41,2,4,3,3,1,15,10,6,9,1,15,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00581,2021-05-20,7,10,12,19,42,54,144,7,54,47,2,4,4,2,3,2,7,23,12,0,23,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00582,2021-05-22,15,27,37,45,46,52,222,15,52,37,4,2,2,4,12,10,8,1,6,1,12,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
