window_end_draw_id,number,count,expected,null_lo,null_hi,z,source_dataset_version,analysis_version,through_draw,override_ref
00104,18,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,19,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,20,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,21,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,22,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,23,13,10.90909091,5,17,0.67069362,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,24,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,25,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,26,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,27,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,28,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,29,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,30,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,31,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,32,13,10.90909091,5,17,0.67069362,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,33,5,10.90909091,5,17,-1.895438491,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,34,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,35,17,10.90909091,5,17,1.953759676,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,36,16,10.90909091,5,17,1.632993162,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,37,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,38,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,39,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,40,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,41,16,10.90909091,5,17,1.632993162,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,42,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,43,11,10.90909091,5,17,0.02916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,44,13,10.90909091,5,17,0.67069362,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,45,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,46,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,47,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
