draw_id,draw_date,position,number,is_special
01257,2025-10-18,6,43,False
01257,2025-10-18,7,50,True
01258,2025-10-21,1,3,False
01258,2025-10-21,2,11,False
01258,2025-10-21,3,12,False
01258,2025-10-21,4,14,False
01258,2025-10-21,5,22,False
01258,2025-10-21,6,40,False
01258,2025-10-21,7,41,True
01259,2025-10-23,1,8,False
01259,2025-10-23,2,10,False
01259,2025-10-23,3,21,False
01259,2025-10-23,4,48,False
01259,2025-10-23,5,49,False
01259,2025-10-23,6,50,False
01259,2025-10-23,7,40,True
01260,2025-10-25,1,3,False
01260,2025-10-25,2,5,False
01260,2025-10-25,3,11,False
01260,2025-10-25,4,13,False
01260,2025-10-25,5,24,False
01260,2025-10-25,6,27,False
01260,2025-10-25,7,45,True
